sector.technology|Technologie
minisite.page.scratch_option|Commencer à partir de zéro
minisite.page.template_desc|Laissez l\
minisite.page.template_option|Génération IA
minisite.placeholder_company|Entrez le nom de votre entreprise
minisite.placeholder_description|Décrivez votre entreprise et vos offres
minisite.placeholder_products|Listez vos principaux produits ou services
minisite.placeholder_socials|Ajoutez les liens de vos réseaux sociaux
minisite.placeholder_url|Entrez l\
minisite.preview.create|Créer
minisite.preview.edit|Modifier
minisite.preview.products_found|produits trouvés
minisite.preview.verify|Vérifier et publier
minisite.section.gallery_desc|Mettez en valeur vos produits et services
minisite.section.gallery_empty|Ajoutez des images à votre galerie
minisite.section.gallery_order|Faites glisser pour réorganiser votre galerie
minisite.section.gallery_title|Galerie d\
minisite.section.products|Produits
minisite.section.products_title|Produits en vedette
minisite.step_company|Informations sur l\
minisite.step_description|Description de l\
minisite.step_documents|Documents
minisite.step_logo|Logo de l\
minisite.step_products|Produits
minisite.step_socials|Réseaux sociaux
minisite.success_emoji|🎉
minisite.success_message|Votre minisite a été créé avec succès
minisite.success_title|Minisite créé !
minisite.unknown_error|Une erreur inconnue s\
minisite.view_my_minisite|Voir mon minisite
minisite.wizard_title|Assistant de création de minisite
months.april|Avril
networking.confirm.cancel|Annuler le rendez-vous
networking.error.acceptance|Erreur lors de l\
networking.error.cancellation|Erreur lors de l\
networking.error.duplicate_appointment|Ce rendez-vous existe déjà
networking.error.duplicate_slot|Ce créneau est déjà pris
networking.error.generation|Erreur lors de la génération des recommandations
networking.error.invalid_dates|Plage de dates invalide
networking.error.loading_data|Erreur lors du chargement des données
networking.error.login_required|Connexion requise
networking.error.must_be_logged|Vous devez être connecté
networking.error.no_exhibitor|Exposant non trouvé
networking.error.no_slot|Créneau non trouvé
networking.error.past_slot|Ce créneau est dans le passé
networking.error.profile_not_found|Profil non trouvé
networking.error.quota_reached_free|Quota gratuit atteint
networking.error.recommendations|Erreur lors du chargement des recommandations
networking.error.refusal|Erreur lors du refus du rendez-vous
networking.error.search|Erreur de recherche
networking.error.slot_taken|Ce créneau est déjà pris
networking.generation.loading|Génération des recommandations...
networking.restricted|Cette fonctionnalité est restreinte
networking.search.no_results|Aucun résultat trouvé
networking.search_room|Rechercher des salles de networking
networking.success.appointment_cancelled|Rendez-vous annulé
networking.success.generated|Recommandations générées avec succès
networking.success.recommendations|Recommandations chargées
payment.pending_description|Votre paiement est en cours de traitement
payment.pending_title|Paiement en attente
payment.see_bank_details|Détails du virement bancaire
products.error_saving_images|Erreur lors de l\
products.min_one_image|Veuillez ajouter au moins une image de produit
products.product_images|Images de produit
products.upload_images_desc|Téléchargez jusqu\
profile.about_placeholder|Parlez-nous de vous et de vos intérêts
profile.change_photo|Changer la photo
profile.country|Pays
profile.first_name|Prénom
profile.last_name|Nom de famille
profile.not_found|Profil non trouvé
profile.position|Poste
quota.remaining_unlimited|Rendez-vous illimités
quota.unlimited|Illimité
quota.upgrade_for_more|Passer à une version supérieure pour plus de rendez-vous
status.available|Disponible
status.full|Complet
status.no_spots|Aucune place disponible
status.spots_available|Places disponibles
sub.info.title1|Informations sur l\
ui.add_remove_favorite|Ajouter aux favoris
ui.backward_10s|Reculer de 10 s
ui.book_appointment|Réserver un rendez-vous
ui.contact_directly|Contacter directement
ui.contact_info|Informations de contact
ui.forward_10s|Avancer de 10 s
ui.search|Rechercher
upload.max_size|La taille maximale du fichier est de 5 Mo
upload.must_be_image|Le fichier doit être une image
upload.upload_error|Erreur d\
visitor.action_required|Action requise
visitor.appointment_with|Rendez-vous avec
visitor.b2b_reserved_message|Les rendez-vous B2B sont réservés aux visiteurs Premium et VIP
visitor.browse_program|Parcourir le programme
visitor.my_schedule|Mon planning
visitor.networking_hub|Hub de networking
visitor.networking_hub_desc|Votre espace personnel de networking et de gestion de contacts
visitor.new_invitations|Nouvelles invitations
visitor.no_message|Aucun message
visitor.no_registered_events|Aucun événement inscrit
visitor.personal|Mon
visitor.view_full_program|Voir le programme complet
whatsapp.available_24_7|Disponible 24h/24 et 7j/7
whatsapp.chat_team|Discutez avec notre équipe
whatsapp.contact_whatsapp|Contacter via WhatsApp
whatsapp.need_help|Besoin d\
pages.webinars.title|Webinaires SIB
pages.webinars.description|Découvrez nos webinaires sponsorisés en replay. Sessions exclusives avec les experts de l\
pages.webinars.loading|Chargement des webinaires...
pages.webinars.total_webinars|Webinaires au total
pages.webinars.hours_content|heures de contenu
pages.webinars.expert_speakers|experts de l\
pages.webinars.filter_all|Tous
pages.webinars.filter_recent|Récents
pages.webinars.filter_popular|Populaires
pages.webinars.search_webinars|Rechercher des webinaires...
pages.webinars.no_results|Aucun webinaire trouvé
pages.webinars.no_category|Non catégorisé
pages.webinars.duration|Durée
pages.webinars.participants|Participants
pages.capsules.title|Capsules Vidéo SIB
pages.capsules.description|Contenus courts et impactants sur l\
pages.capsules.loading|Chargement des capsules...
pages.capsules.total_capsules|Capsules disponibles
pages.capsules.total_views|vues au total
pages.capsules.trending_now|Tendance maintenant
pages.capsules.filter_all|Tous
pages.capsules.filter_recent|Récentes
pages.capsules.filter_popular|Populaires
pages.capsules.search_capsules|Rechercher des capsules...
pages.capsules.no_results|Aucune capsule trouvée
pages.capsules.add_to_favorites|Ajouter aux favoris
pages.capsules.remove_from_favorites|Retirer des favoris
pages.live.title|Studio en Direct SIB
pages.live.description|Participez à nos émissions en direct. Interviews, débats et nouveautés du secteur de la construction en temps réel.
pages.live.loading|Chargement des émissions...
pages.live.coming_soon|À venir
pages.live.past_streams|Émissions précédentes
pages.live.total_viewers|spectateurs
pages.live.scheduled_broadcasts|Émissions programmées
pages.live.average_duration|Durée moyenne
pages.live.filter_all|Tous
pages.live.filter_upcoming|À venir
pages.live.filter_past|Passées
pages.live.search_streams|Rechercher des émissions...
pages.live.no_results|Aucune émission trouvée
pages.moments.title|Meilleurs Moments SIB
pages.moments.description|Revivez les plus beaux moments de SIB. Interviews, annonces marquantes et instants mémorables de l\
pages.moments.loading|Chargement des moments...
pages.moments.featured_moments|Moments en vedette
pages.moments.total_moments|Moments disponibles
pages.moments.event_highlights|Temps forts de l\
pages.moments.curated_by|Curé par l\
pages.moments.filter_all|Tous
pages.moments.filter_recent|Récents
pages.moments.filter_popular|Populaires
pages.moments.search_moments|Rechercher des moments...
pages.moments.no_results|Aucun moment trouvé
pages.moments.share_moment|Partager ce moment
media.back_to_home|Retour à l\
media.loading_content|Chargement du contenu...
media.error_loading|Erreur lors du chargement du contenu
media.retry|Réessayer
common.featured|À la une
common.speakers|Intervenants
common.watch_replay|Voir le replay
common.results|Résultats
common.all_items|Tous les éléments
common.modify_filters|Essayez de modifier vos filtres de recherche
common.coming_soon|Les contenus seront bientôt disponibles
auth.select_country|Sélectionner un pays
form.select.placeholder|Sélectionner...
media.capsule.removed_from_favorites|Retiré des favoris
nav.calendar|Calendrier
pages.partners.category_industry|Industrie
pages.partners.category_service|Service
pages.partners.category_technology|Technologie
siteBuilder.loadError|Erreur de chargement du modèle
siteBuilder.published|Site publié avec succès
siteBuilder.saveError|Erreur lors de la sauvegarde
siteBuilder.saved|Modifications sauvegardées
siteBuilder.search_image|Rechercher une image...
siteBuilder.search_template|Rechercher un modèle...
siteBuilder.siteName|Nom du site
siteBuilder.templateLoadError|Erreur de chargement du modèle
sub.info.titleHighlight|premium
sub.pavSection.title1|Nos formules
sub.pavSection.titleHighlight|d\
sub.whySection.title1|Pourquoi nous
sub.whySection.title2|choisir ?
exhibitor.detail.back_to_catalog|Retour au Catalogue
exhibitor.detail.sib_official|SIB 2026 OFFICIAL
exhibitor.detail.loading|Chargement de l\
exhibitor.detail.validation_warning|⚠️ Fiche en cours de validation - Ce profil n\
exhibitor.detail.schedule_b2b|Planifier un RDV B2B
exhibitor.detail.contact_btn|Contact
exhibitor.detail.share_btn|Partager
exhibitor.detail.brochure_pdf|Brochure PDF (Digital)
exhibitor.detail.salon_location|Emplacement Salon
exhibitor.detail.main_pavilion|Pavillon Principal
exhibitor.detail.direct_contact|Contact Direct
exhibitor.detail.visit_website|Visiter le site web
exhibitor.detail.tab_overview|Vue d\
exhibitor.detail.tab_products|Produits
exhibitor.detail.tab_about|À propos
exhibitor.detail.tab_contact|Contact
exhibitor.detail.tab_minisite|Mini-site
exhibitor.detail.email_unavailable|Adresse email non disponible
exhibitor.detail.link_copied|Lien copié dans le presse-papiers !
exhibitor.detail.copy_error|Impossible de copier le lien
exhibitor.detail.brochure_unavailable|Brochure non disponible pour cet exposant
exhibitor.detail.download_started|Téléchargement de la brochure démarré
exhibitor.category.institutional|Institutionnel
exhibitor.category.port_industry|Industrie du Bâtiment
exhibitor.category.operations|Exploitation & Gestion
exhibitor.category.academic|Académique & Formation
partner.notFound|Sponsor non disponible
partner.notFoundDesc|Ce sponsor n\
partner.notFoundGeneric|Le sponsor que vous recherchez n\
partner.backToList|Voir tous les sponsors
partner.discoverSIB|Découvrir SIB 2026
partner.areYouPartner|Vous êtes sponsor ?
partner.completeProfile|Complétez votre profil depuis votre tableau de bord pour apparaître dans notre annuaire des sponsors.
partner.detail.back_to_partners|Retour aux sponsors
partner.detail.official_site|Site officiel
partner.detail.contact_btn|Contacter
partner.detail.share_btn|Partager
partner.detail.tab_overview|Vue d\
partner.detail.tab_about|À propos
partner.detail.tab_expertise|Expertise
partner.detail.tab_projects|Projets
partner.detail.tab_gallery|Galerie
partner.detail.tab_news|Actualités
partner.detail.tab_contact|Contact
partner.detail.who_we_are|Qui sommes-nous ?
partner.detail.our_mission|Notre Mission
partner.detail.our_vision|Notre Vision
partner.detail.our_values|Nos Valeurs
partner.detail.certifications|Certifications
partner.detail.awards|Récompenses
partner.detail.testimonials_title|Ce que disent Nos Partenaires
partner.detail.contributions_title|Contributions au Salon SIB 2026
partner.detail.about_title|À propos de {{name}}
partner.detail.our_history|Notre Histoire
partner.detail.founded_in|Fondé en {{year}}
partner.detail.clients_title|Ils nous font confiance
partner.detail.expertise_title|Nos Domaines d\
partner.detail.projects_title|Nos Projets
partner.detail.gallery_title|Galerie Photos
partner.detail.news_title|Dernières Actualités
partner.detail.read_more|Lire plus
partner.detail.view_details|Voir les détails
partner.detail.contact_info_title|Informations de Contact
partner.detail.contact_coordinates|Coordonnées
partner.detail.contact_sib|Contact SIB
partner.detail.send_message|Envoyer un message
partner.detail.close|Fermer
partner.detail.share|Partager
partner.detail.certif_accred|Certifications & Accréditations
partner.detail.expertise_title2|Domaines d\
partner.detail.project_progress|Avancement
partner.detail.project_satisfaction|Satisfaction
partner.detail.project_roi|ROI
partner.detail.contact_title|Nous Contacter
partner.detail.presentation_discover|Découvrez {{name}}
partner.detail.presentation_video|Vidéo de présentation
partner.detail.validation_warning|⚠️ Fiche en cours de validation - Ce profil n\
partner.detail.link_copied|Lien copié dans le presse-papiers !
partner.detail.copy_error|Impossible de copier le lien
partner.detail.status.completed|Terminé
partner.detail.status.active|En cours
partner.detail.status.planned|Planifié
partners.page.badge|Sponsors & Sponsors
partners.page.tier_all|Tous les niveaux
partners.page.country_label|Pays
partners.page.all_countries|Tous les pays
partners.page.displayed_count|{{shown}} affichés sur {{total}} sponsors
partners.page.load_more|Charger plus
partners.page.loading|Chargement...
partners.page.organizers|Organisateurs
partners.page.co_organizers|Co-organisateurs
partners.page.official_sponsors|Partenaire Officiel
partners.page.delegated_organizers|Organisateur Délégué
partners.page.delegated_organizers_short|Org. Délégué
partners.page.partners_section|Nos Partenaires
partners.page.press_partners|Nos Partenaires Presse
partners.page.press|Presse
partners.page.total|Total
partners.page.filters_btn|Filtres
partners.page.tier_level|Niveau sponsor
partners.page.partner_singular|sponsor
partners.page.partner_plural|sponsors
exhibitors.page.sector_construction|Exploitation Bâtiment
exhibitors.page.sector_regulation|Régulation Bâtiment
exhibitors.page.sector_logistics|Hub Logistique
exhibitors.page.country_placeholder|Ex: Casablanca
exhibitors.page.displayed_count|{{shown}} affichés sur {{total}} exposants
exhibitors.page.load_more|Charger plus
exhibitors.page.loading|Chargement...
admin.pub_hidden|Pub Hidden
admin.push_calculating|Push Calculating
admin.push_compose|Push Compose
admin.push_devices_targeted|Push Devices Targeted
admin.push_history|Push History
admin.push_now|Push Now
admin.push_recipients|Push Recipients
admin.push_sending|Push Sending
admin.visa_dob|Visa Dob
admin.visa_nationality|Visa Nationality
admin.visa_organization|Visa Organization
admin.zones_icon_click|Zones Icon Click
admin.zones_modified|Zones Modified
analytics.chart_devis|Chart Devis
analytics.chart_leads|Chart Leads
analytics.chart_rdv|Chart Rdv
analytics.conversion_funnel|Conversion Funnel
analytics.conversion_pct|Conversion Pct
analytics.cost_per_lead|Cost Per Lead
analytics.deals_converted|Deals Converted
analytics.deals_generated|Deals Generated
analytics.devis_requests|Devis Requests
analytics.estimated_revenue|Estimated Revenue
analytics.funnel_deals|Funnel Deals
analytics.investment|Investment
analytics.leads_by_sector|Leads By Sector
analytics.leads_generated|Leads Generated
analytics.leads_qualified|Leads Qualified
analytics.metric_connections|Metric Connections
analytics.monthly_evolution|Monthly Evolution
analytics.period_1y|Period 1y
analytics.period_30d|Period 30d
analytics.period_7d|Period 7d
analytics.period_90d|Period 90d
analytics.qualification_pct|Qualification Pct
analytics.roi_positive|Roi Positive
analytics.roi_ratio|Roi Ratio
catalog.advanced_filters|Advanced Filters
catalog.cat_finitions|Cat Finitions
catalog.cat_gros_oeuvre|Cat Gros Oeuvre
catalog.cat_innovation|Cat Innovation
catalog.cat_materiaux|Cat Materiaux
catalog.cat_mep_cvc|Cat Mep Cvc
catalog.clear|Clear
catalog.construction_phases|Construction Phases
catalog.featured|Featured
catalog.pdf_sheet|Pdf Sheet
catalog.regions_covered|Regions Covered
catalog.sheet|Sheet
catalog.technical_specs|Technical Specs
chat.typing|Typing
chatbot.qr_custom_program|QR Custom Program
chatbot.qr_discover|QR Discover
chatbot.qr_impact|QR Impact
chatbot.qr_manage_rdv|QR Manage Rdv
chatbot.qr_my_rdv|QR My Rdv
chatbot.qr_nav|QR Nav
chatbot.qr_optimize|QR Optimize
chatbot.qr_program|QR Program
chatbot.qr_rdv_system|QR Rdv System
chatbot.qr_recommendations|QR Recommendations
chatbot.qr_roi|QR Roi
chatbot.qr_see_program|QR See Program
chatbot.qr_sponsored|QR Sponsored
chatbot.sugg_favorites|Sugg Favorites
chatbot.sugg_favorites_desc|Sugg Favorites Desc
chatbot.sugg_full_program|Sugg Full Program
chatbot.sugg_full_program_desc|Sugg Full Program Desc
chatbot.sugg_manage_planning|Sugg Manage Planning
chatbot.sugg_manage_rdv_desc|Sugg Manage Rdv Desc
chatbot.sugg_my_agenda|Sugg My Agenda
chatbot.sugg_my_agenda_desc|Sugg My Agenda Desc
chatbot.sugg_my_rdv|Sugg My Rdv
chatbot.sugg_my_rdv_short|Sugg My Rdv Short
chatbot.sugg_personal_agenda|Sugg Personal Agenda
chatbot.sugg_rdv_programmed|Sugg Rdv Programmed
chatbot.sugg_recommendations_short|Sugg Recommendations Short
chatbot.sugg_roi_detail|Sugg Roi Detail
chatbot.sugg_roi_detail_desc|Sugg Roi Detail Desc
chatbot.sugg_roi_return|Sugg Roi Return
chatbot.sugg_roi_short|Sugg Roi Short
chatbot.sugg_validation|Sugg Validation
chatbot.sugg_validation_desc|Sugg Validation Desc
chatbot.typing_indicator|Typing Indicator
checkin.present|Present
checkin.starting_scanner|Starting Scanner
checkin.verifying|Verifying
checkout.cmi_desc|Cmi Desc
checkout.exchange_rate|Exchange Rate
checkout.ordered_items|Ordered Items
checkout.paypal_desc|Paypal Desc
checkout.subtotal_ht|Subtotal Ht
checkout.tva|Tva
common.accept|Accept
common.archived|Archived
common.change|Change
common.dates|Dates
common.draft|Draft
common.entry|Entry
common.in_progress|In Progress
common.past|Past
common.upcoming|Upcoming
event_form.featured|Featured
event_form.restricted_desc|Restricted Desc
event_form.sp_bio|Sp Bio
event_form.sp_expertise|Sp Expertise
hallmap.available|Available
hallmap.corridor_eo|Corridor Eo
hallmap.corridor_ns|Corridor Ns
hallmap.entrance|Entrance
hallmap.sector_breakdown|Sector Breakdown
hallmap.stands_occupied|Stands Occupied
hallmap.surface|Surface
hallmap.venue|Venue
invitation.letter_lang|Letter Lang
invitation.my_requests|My Requests
invitation.nationality|Nationality
invitation.position|Position
invitation.sending|Sending
media_signup.submitted_toast|Submitted Toast
metrics.eng_connections|Eng Connections
metrics.pav_academic|Pav Academic
metrics.pav_industry|Pav Industry
metrics.pav_institutional|Pav Institutional
metrics.pav_museum|Pav Museum
metrics.pav_performance|Pav Performance
metrics.perf_average|Perf Average
metrics.perf_excellent|Perf Excellent
metrics.perf_good|Perf Good
metrics.perf_low|Perf Low
metrics.restricted_desc|Restricted Desc
metrics.target_reached|Target Reached
minisite.full_editor|Full Editor
moderation.approving|Approving
moderation.changes_header|Changes Header
moderation.err_rejection|Err Rejection
moderation.priority_high|Priority High
moderation.priority_low|Priority Low
moderation.priority_medium|Priority Medium
nav.my_ebadge|My Ebadge
nav.my_ebadge_qr|My Ebadge QR
nav.salons|Salons
nav.standard|Standard
news_form.featured_checkbox|Featured Checkbox
news_form.keywords_header|Keywords Header
news_form.publishing|Publishing
pages.podcasts.description|Podcasts.description
pages.podcasts.title|Podcasts.title
pages.testimonials.description|Testimonials.description
pages.testimonials.title|Testimonials.title
partner.countdown_days|Countdown Days
partner.countdown_hours|Countdown Hours
partner.countdown_minutes|Countdown Minutes
partner.countdown_seconds|Countdown Seconds
partner.faq_a1|Faq A1
partner.faq_a2|Faq A2
partner.faq_a3|Faq A3
partner.faq_a4|Faq A4
partner.faq_q1|Faq Q1
partner.faq_q2|Faq Q2
partner.faq_q3|Faq Q3
partner.faq_q4|Faq Q4
partner.hero_discover|Hero Discover
partner.pricing_collapse|Pricing Collapse
partner.pricing_included|Pricing Included
partner.pricing_popular|Pricing Popular
press.received_desc|Received Desc
press.submitting|Submitting
products.toast_added|Toast Added
register.chars|Chars
register.checking|Checking
register.custom_position|Custom Position
register.custom_sector|Custom Sector
register.describe_self|Describe Self
register.linkedin|LinkedIn
register.min_50|Min 50
register.objectives_heading|Objectives Heading
register.objectives_subheading|Objectives Subheading
register.org_desc|Org Desc
register.prev|Prev
register.pwd_digit|Pwd Digit
register.pwd_lowercase|Pwd Lowercase
register.pwd_min_chars|Pwd Min Chars
register.pwd_requirements|Pwd Requirements
register.pwd_special|Pwd Special
register.pwd_uppercase|Pwd Uppercase
register.redirecting|Redirecting
register.step1_desc|Step1 Desc
register.step1_heading|Step1 Heading
register.step1_subheading|Step1 Subheading
register.step2_desc|Step2 Desc
register.step2_heading|Step2 Heading
register.step2_subheading|Step2 Subheading
register.step3_desc|Step3 Desc
register.step3_heading|Step3 Heading
register.step3_subheading|Step3 Subheading
register.step4_desc|Step4 Desc
register.step4_heading|Step4 Heading
register.step4_subheading|Step4 Subheading
register.step5_desc|Step5 Desc
register.step5_heading|Step5 Heading
register.step5_subheading|Step5 Subheading
register.strength_excellent|Strength Excellent
register.strength_good|Strength Good
register.strength_medium|Strength Medium
register.strength_weak|Strength Weak
register.validation_desc|Validation Desc
rental.my_orders|My Orders
rentalSuccess.thanks_cmi_post|Thanks Cmi Post
rentalSuccess.thanks_cmi_pre|Thanks Cmi Pre
rentalSuccess.thanks_paypal_post|Thanks Paypal Post
rentalSuccess.thanks_paypal_pre|Thanks Paypal Pre
salon.dates_tbc|Dates Tbc
salon.discover_companies|Discover Companies
salon.explore|Explore
salon.institutional_sponsors|Institutional Sponsors
salon.past_edition|Past Edition
salon.programme_desc|Programme Desc
salon.tbc|Tbc
satisfaction.axes|Axes
satisfaction.connections|Connections
satisfaction.priority_high|Priority High
satisfaction.priority_low|Priority Low
satisfaction.priority_medium|Priority Medium
satisfaction.program|Program
satisfaction.testimonials|Testimonials
satisfaction.verified_sponsors|Verified Sponsors
scans.exported|Exported
scans.lines_exported|Lines Exported
scans.unknown|Unknown
scans.vip|Vip
scans.you|You
session_reg.csv_header|Csv Header
session_reg.stat_present|Stat Present
session_reg.stat_rate|Stat Rate
team.print_action|Print Action
team.print_badges|Print Badges
transfer.sending|Sending
visitor.sector.materials|Sector.materials
visitor.sector.paint|Sector.paint
visitor.sector.realestate|Sector.realestate
visitor.sector.tiles|Sector.tiles
visitor.sector.woodwork|Sector.woodwork
visitor_settings.business_sector|Business Sector
visitor_settings.include_recommendations|Include Recommendations
visitor_settings.individual|Individual
visitor_settings.my_quotas_desc|My Quotas Desc
visitor_settings.nav_interests|Nav Interests
visitor_settings.nav_privacy|Nav Privacy
visitor_settings.nav_quotas|Nav Quotas
visitor_settings.notif_inapp|Notif Inapp
visitor_settings.notif_inapp_desc|Notif Inapp Desc
visitor_settings.notif_push|Notif Push
visitor_settings.notif_push_desc|Notif Push Desc
visitor_settings.quota_b2b|Quota B2b
visitor_settings.rgpd_desc|Rgpd Desc
visitor_settings.upgrade_desc|Upgrade Desc
visitor_settings.visibility_connections|Visibility Connections
